fed-date,fed-rate,fed-rate-change
2/1/2023,0.0475,0.0025
12/14/2022,0.045,0.005
11/2/2022,0.04,0.0075
9/21/2022,0.0325,0.0075
7/27/2022,0.025,0.0075
6/15/2022,0.0175,0.0075
5/4/2022,0.01,0.005
3/16/2022,0.005,0.0025
11/5/2020,0.0025,0
9/16/2020,0.0025,0
8/27/2020,0.0025,0
7/29/2020,0.0025,0
6/10/2020,0.0025,0
4/29/2020,0.0025,0
3/31/2020,0.0025,0
3/23/2020,0.0025,0
3/19/2020,0.0025,0
3/15/2020,0.0025,-0.025
3/3/2020,0.0275,0
10/30/2019,0.0275,0
9/18/2019,0.0275,0
7/31/2019,0.0275,-0.0025
12/19/2018,0.03,0.0025
9/26/2018,0.0275,0.0025
6/13/2018,0.025,0.0025
3/21/2018,0.0225,0.0025
12/13/2017,0.02,0.0025
6/14/2017,0.0175,0.0025
3/15/2017,0.015,0.0025
12/14/2016,0.0125,0.0025
12/16/2015,0.01,0.0025
6/22/2011,0.0075,0.0025
12/16/2008,0.005,-0.0075
10/29/2008,0.0125,-0.005
10/8/2008,0.0175,-0.005
4/30/2008,0.0225,-0.0025
3/18/2008,0.025,-0.0075
3/16/2008,0.0325,-0.0025
1/30/2008,0.035,-0.005
1/22/2008,0.04,-0.0075
12/11/2007,0.0475,-0.0025
10/31/2007,0.05,-0.0025
9/18/2007,0.0525,-0.005
8/17/2007,0.0575,-0.005
8/7/2007,0.0625,0
6/28/2007,0.0625,0
5/9/2007,0.0625,0
3/21/2007,0.0625,0
1/31/2007,0.0625,0
12/12/2006,0.0625,0
10/25/2006,0.0625,0
9/20/2006,0.0625,0
8/8/2006,0.0625,0
6/29/2006,0.0625,0.0025
5/10/2006,0.06,0.0025
3/28/2006,0.0575,0.0025
1/31/2006,0.055,0.0025
12/13/2005,0.0525,0.0025
11/1/2005,0.05,0.0025
9/20/2005,0.0475,0.0025
8/9/2005,0.045,0.0025
6/30/2005,0.0425,0.0025
5/3/2005,0.04,0.0025
3/22/2005,0.0375,0.0025
2/2/2005,0.035,0.0025
12/14/2004,0.0325,0.0025
11/10/2004,0.03,0.0025
9/21/2004,0.0275,0.0025
8/10/2004,0.025,0.0025
6/30/2004,0.0225,0.0025
5/4/2004,0.02,0
3/16/2004,0.02,0
1/28/2004,0.02,0
12/9/2003,0.02,0
10/28/2003,0.02,0
9/16/2003,0.02,0
8/12/2003,0.02,0
6/25/2003,0.02,-0.0025
5/6/2003,0.0225,0
3/18/2003,0.0225,0
1/29/2003,0.0225,0
1/9/2003,0.0225,0.015
12/10/2002,0.0075,0
11/6/2002,0.0075,-0.005
9/24/2002,0.0125,0
8/13/2002,0.0125,0
6/26/2002,0.0125,0
5/7/2002,0.0125,0
3/19/2002,0.0125,0
1/30/2002,0.0125,0
12/11/2001,0.0125,-0.0025
11/6/2001,0.015,-0.005
10/2/2001,0.02,-0.005
9/17/2001,0.025,-0.005
8/21/2001,0.03,-0.0025
6/27/2001,0.0325,-0.0025
5/15/2001,0.035,-0.005
4/18/2001,0.04,-0.005
3/20/2001,0.045,-0.005
1/31/2001,0.05,-0.0075
1/3/2001,0.0575,-0.0025
12/19/2000,0.06,0
11/15/2000,0.06,0
10/3/2000,0.06,0
8/22/2000,0.06,0
6/28/2000,0.06,0
5/16/2000,0.06,0.005
3/21/2000,0.055,0.0025
2/2/2000,0.0525,#N/A
