,MortgageRates
1/1/1991,9.47
2/1/1991,9.38
3/1/1991,9.62
4/1/1991,9.41
5/1/1991,9.48
6/1/1991,9.67
7/1/1991,9.66
8/1/1991,9.32
9/1/1991,9.09
10/1/1991,8.77
11/1/1991,8.71
12/1/1991,8.48
1/1/1992,8.13
2/1/1992,8.5
3/1/1992,8.76
4/1/1992,8.61
5/1/1992,8.76
6/1/1992,8.57
7/1/1992,8.04
8/1/1992,7.9
9/1/1992,7.69
10/1/1992,7.83
11/1/1992,8.32
12/1/1992,8.15
1/1/1993,8.05
2/1/1993,7.69
3/1/1993,7.44
4/1/1993,7.54
5/1/1993,7.36
6/1/1993,7.44
7/1/1993,7.09
8/1/1993,7.08
9/1/1993,6.7
10/1/1993,6.73
11/1/1993,7.05
12/1/1993,7.17
1/1/1994,7.01
2/1/1994,7.17
3/1/1994,7.63
4/1/1994,8.3
5/1/1994,8.74
6/1/1994,8.33
7/1/1994,8.7
8/1/1994,8.57
9/1/1994,8.54
10/1/1994,9.11
11/1/1994,9.19
12/1/1994,9.13
1/1/1995,9.09
2/1/1995,8.83
3/1/1995,8.65
4/1/1995,8.5
5/1/1995,8.02
6/1/1995,7.51
7/1/1995,7.52
8/1/1995,7.92
9/1/1995,7.74
10/1/1995,7.6
11/1/1995,7.47
12/1/1995,7.32
1/1/1996,7.14
2/1/1996,7.07
3/1/1996,7.48
4/1/1996,8.04
5/1/1996,8.28
6/1/1996,8.32
7/1/1996,8.3
8/1/1996,8.02
9/1/1996,8.33
10/1/1996,7.94
11/1/1996,7.79
12/1/1996,7.67
1/1/1997,7.83
2/1/1997,7.78
3/1/1997,7.91
4/1/1997,8.15
5/1/1997,8.04
6/1/1997,7.82
7/1/1997,7.61
8/1/1997,7.52
9/1/1997,7.54
10/1/1997,7.2
11/1/1997,7.28
12/1/1997,7.23
1/1/1998,7.02
2/1/1998,7.05
3/1/1998,7.14
4/1/1998,6.89
5/1/1998,7.11
6/1/1998,7.03
7/1/1998,6.85
8/1/1998,6.87
9/1/1998,6.64
10/1/1998,6.36
11/1/1998,6.87
12/1/1998,6.71
1/1/1999,6.72
2/1/1999,6.86
3/1/1999,7.09
4/1/1999,6.96
5/1/1999,7.07
6/1/1999,7.57
7/1/1999,7.65
8/1/1999,8.18
9/1/1999,7.99
10/1/1999,7.86
11/1/1999,7.72
12/1/1999,7.92
1/1/2000,8.24
2/1/2000,8.39
3/1/2000,8.25
4/1/2000,8.22
5/1/2000,8.54
6/1/2000,8.23
7/1/2000,8.17
8/1/2000,8.04
9/1/2000,7.85
10/1/2000,7.87
11/1/2000,7.76
12/1/2000,7.47
1/1/2001,6.79
2/1/2001,6.91
3/1/2001,6.97
4/1/2001,6.9
5/1/2001,7.01
6/1/2001,7.16
7/1/2001,7.17
8/1/2001,7
9/1/2001,6.73
10/1/2001,6.49
11/1/2001,6.4
12/1/2001,7.11
1/1/2002,7.04
2/1/2002,6.85
3/1/2002,6.81
4/1/2002,6.96
5/1/2002,6.66
6/1/2002,6.65
7/1/2002,6.46
8/1/2002,6.17
9/1/2002,6.1
10/1/2002,5.87
11/1/2002,6.03
12/1/2002,5.95
1/1/2003,5.85
2/1/2003,5.68
3/1/2003,5.42
4/1/2003,5.8
5/1/2003,5.53
6/1/2003,5.06
7/1/2003,5.37
8/1/2003,6.37
9/1/2003,5.99
10/1/2003,5.79
11/1/2003,5.94
12/1/2003,5.76
1/1/2004,5.81
2/1/2004,5.6
3/1/2004,5.34
4/1/2004,5.75
5/1/2004,6.32
6/1/2004,6.25
7/1/2004,5.96
8/1/2004,5.8
9/1/2004,5.79
10/1/2004,5.78
11/1/2004,5.69
12/1/2004,5.68
1/1/2005,5.7
2/1/2005,5.48
3/1/2005,5.69
4/1/2005,5.91
5/1/2005,5.77
6/1/2005,5.55
7/1/2005,5.58
8/1/2005,5.91
9/1/2005,5.64
10/1/2005,5.98
11/1/2005,6.31
12/1/2005,6.32
1/1/2006,6.08
2/1/2006,6.25
3/1/2006,6.31
4/1/2006,6.5
5/1/2006,6.61
6/1/2006,6.6
7/1/2006,6.81
8/1/2006,6.45
9/1/2006,6.31
10/1/2006,6.27
11/1/2006,6.24
12/1/2006,5.98
1/1/2007,6.13
2/1/2007,6.23
3/1/2007,6.04
4/1/2007,6.16
5/1/2007,6.1
6/1/2007,6.35
7/1/2007,6.65
8/1/2007,6.41
9/1/2007,6.25
10/1/2007,6.4
11/1/2007,6.16
12/1/2007,6.07
1/1/2008,5.73
2/1/2008,5.61
3/1/2008,6.36
4/1/2008,5.78
5/1/2008,5.91
6/1/2008,6.24
7/1/2008,6.43
8/1/2008,6.41
9/1/2008,6.06
10/1/2008,5.99
11/1/2008,6.24
12/1/2008,5.44
1/1/2009,5.07
2/1/2009,5.19
3/1/2009,4.96
4/1/2009,4.73
5/1/2009,4.79
6/1/2009,5.57
7/1/2009,5.34
8/1/2009,5.38
9/1/2009,5.03
10/1/2009,4.88
11/1/2009,4.9
12/1/2009,4.89
1/1/2010,5.18
2/1/2010,4.94
3/1/2010,5.01
4/1/2010,5.31
5/1/2010,4.95
6/1/2010,4.81
7/1/2010,4.67
8/1/2010,4.58
9/1/2010,4.5
10/1/2010,4.25
11/1/2010,4.28
12/1/2010,4.66
1/1/2011,4.78
2/1/2011,5.14
3/1/2011,4.93
4/1/2011,4.93
5/1/2011,4.67
6/1/2011,4.54
7/1/2011,4.69
8/1/2011,4.37
9/1/2011,4.31
10/1/2011,4.25
11/1/2011,4.22
12/1/2011,4.18
1/1/2012,4.11
